bookID,Title,Category,Author,Average_Rating,ISBN13,Num_Pages,Ratings_Count,Publication_Year,Publisher
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),Juvenile Fiction,J.K. Rowling,4.42,9780439554893,352,6333,2003,Scholastic
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",Fiction,W. Frederick Zimmerman,3.74,9780976540601,152,19,2005,Nimble Books
10,Harry Potter Collection (Harry Potter  #1-6),Children's stories,J.K. Rowling,4.73,9780439827607,3342,28242,2005,Scholastic
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Fiction,Douglas Adams,4.38,9780517226957,815,3628,2005,Gramercy Books
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Fiction,Douglas Adams,4.38,9780345453747,815,249558,2002,Del Rey Books
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Fiction,Douglas Adams,4.22,9781400052929,215,4930,2004,Crown
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Fiction,Douglas Adams,4.38,9780517149256,815,2877,1996,Wings Books
21,A Short History of Nearly Everything,Science,Bill Bryson,4.21,9780767908184,544,248558,2004,Broadway Books
22,Bill Bryson's African Diary,Biography & Autobiography,Bill Bryson,3.44,9780767915069,55,7270,2002,Broadway Books
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Language Arts & Disciplines,Bill Bryson,3.87,9780767910439,256,2088,2004,Broadway Books
24,In a Sunburned Country,True Crime,Bill Bryson,4.07,9780767903868,335,72451,2001,Broadway Books
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Biography & Autobiography,Bill Bryson,3.9,9780767903820,304,49240,2000,Broadway Books
26,The Lost Continent: Travels in Small Town America,Travel,Bill Bryson,3.83,9780060920081,299,45712,1990,William Morrow Paperbacks
27,Neither Here nor There: Travels in Europe,Travel,Bill Bryson,3.86,9780380713806,254,48701,1993,William Morrow Paperbacks
28,Notes from a Small Island,Travel,Bill Bryson,3.91,9780380727506,324,80609,1997,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,Language Arts & Disciplines,Bill Bryson,3.93,9780380715435,270,28489,1991,William Morrow Paperbacks
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,Fiction,J.R.R. Tolkien,4.59,9780345538376,1728,101233,2012,Ballantine Books
31,The Lord of the Rings (The Lord of the Rings  #1-3),Fiction,J.R.R. Tolkien,4.5,9780618517657,1184,1710,2004,Houghton Mifflin Harcourt
34,The Fellowship of the Ring (The Lord of the Rings  #1),Fiction,J.R.R. Tolkien,4.36,9780618346257,398,2128944,2003,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,Fiction,Jude Fisher,4.5,9780618510825,224,359,2004,Houghton Mifflin Harcourt
53,Guts: The True Stories behind Hatchet and the Brian Books,"Authors, American",Gary Paulsen,3.88,9780385326506,144,2067,2001,Delacorte Press
54,Molly Hatchet - 5 of the Best,Music,Molly Hatchet,4.33,9781575606248,56,6,2003,Cherry Lane Music Company
55,Hatchet Jobs: Writings on Contemporary Fiction,Literary Criticism,Dale Peck,3.45,9781595580276,228,99,2005,The New Press
58,Changeling (Changeling  #1),Juvenile Fiction,Delia Sherman,3.6,9780670059676,256,978,2006,Viking Juvenile
59,The Changeling Sea,Juvenile Fiction,Patricia A. McKillip,4.06,9780141312620,137,4454,2003,Firebird
63,The Changeling,Fiction,Kate Horsley,3.55,9781590301944,339,301,2005,Shambhala
66,The Changeling (Daughters of England  #15),Fiction,Philippa Carr,3.98,9780449146972,369,345,1990,Ivy Books
67,The Known World,Fiction,Edward P. Jones,3.83,9780061159176,388,29686,2006,Amistad
69,The Known World,Fiction,Edward P. Jones,3.83,9780060749910,576,22,2004,Harper
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Business & Economics,Satyajit Das,3.83,9780273704744,334,1456,2006,FT Press
72,Artesia: Adventures in the Known World,Games,Mark Smylie,4.13,9781932386103,352,52,2005,Archaia
75,Uncommon Carriers,Literary Collections,John McPhee,3.95,9780374280390,248,1630,2006,Farrar Straus Giroux
76,Heirs of General Practice,Biography & Autobiography,John McPhee,4.17,9780374519742,128,268,1986,Farrar  Straus and Giroux
77,The Control of Nature,Nature,John McPhee,4.24,9780374522599,288,3498,1990,Farrar  Straus and Giroux
78,Annals of the Former World,Science,John McPhee,4.34,9780374518738,720,3115,1999,Farrar  Straus and Giroux
79,Coming Into the Country,Nature,John McPhee,4.22,9780374522872,448,5704,1991,Farrar  Straus and Giroux
81,Giving Good Weight,Literary Collections,John McPhee,4.23,9780374516000,288,542,1994,Farrar  Straus and Giroux
83,Rising from the Plains,Nature,John McPhee,4.23,9780374520656,208,1341,1987,Farrar  Straus and Giroux
85,The Heidi Chronicles,Literary Criticism,Wendy Wasserstein,3.75,9780822205104,81,1423,2002,Dramatists Play Service
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Drama,Wendy Wasserstein,3.84,9780679734994,249,2766,1991,Vintage
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Education,Heidi Hayes Jacobs,3.94,9781596670235,138,31,2006,Routledge
90,Simply Beautiful Beaded Jewelry,Crafts & Hobbies,Heidi Boyd,3.77,9781581807745,128,62,2006,North Light Books
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Education,Heidi Hayes Jacobs,3.68,9780871202864,108,77,1997,Association for Supervision & Curriculum Development
94,Getting Results with Curriculum Mapping,Education,Heidi Hayes Jacobs,3.25,9780871209993,192,55,2004,ASCD
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Crafts & Hobbies,Heidi Boyd,3.78,9781581805635,128,78,2004,North Light Books
105,Chapterhouse: Dune (Dune Chronicles #6),Fiction,Frank Herbert,3.91,9780441102679,436,38778,1987,Ace Books
106,Dune Messiah (Dune Chronicles #2),Fiction,Frank Herbert,3.88,9780441172696,331,97494,1987,Ace Books
107,Dreamer of Dune: The Biography of Frank Herbert,Biography & Autobiography,Brian Herbert,4.01,9780765306470,592,784,2004,Tor Books
109,Heretics of Dune (Dune Chronicles  #5),Fiction,Frank Herbert,3.86,9780399128981,480,272,1984,Putnam
117,Heretics of Dune (Dune Chronicles #5),Fiction,Frank Herbert,3.86,9780441328000,471,45388,1987,Ace Books
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Performing Arts,Gary Russell,4.59,9780618212903,192,26153,2002,Houghton Mifflin Harcourt
122,The Power of One (The Power of One  #1),Fiction,Bryce Courtenay,4.35,9780345410054,544,69167,1996,Ballantine Books
123,The Power of One (The Power of One  #1),Apartheid,Bryce Courtenay,4.35,9780385732543,291,45,2005,Delacorte Books for Young Readers
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Business & Economics,Dave Lakhani,3.34,9780471780939,205,174,2006,Wiley
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Performing Arts,Louis E. Catron,3.67,9780325001531,240,10,2000,Heinemann Drama
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Business & Economics,Adam Ginsberg,3.48,9780060762872,336,76,2005,William Morrow Paperbacks
133,eBay for Dummies,Business & Economics,Marsha Collier,3.5,9780470045299,386,111,2006,Wiley
137,Starting an eBay Business for Dummies,Business & Economics,Marsha Collier,3.55,9780764569241,384,55,2004,Wiley
138,eBay: Top 100 Simplified Tips & Tricks,Computers,Julia Wilkinson,4.27,9780471933823,260,9,2006,Wiley
139,ebay Timesaving Techniques for Dummies,Business & Economics,Marsha Collier,3.39,9780764559914,391,22,2004,Wiley
140,eBay Business All-in-One Desk Reference for Dummies,Business & Economics,Marsha Collier,3.89,9780764584381,864,17,2005,Wiley
142,Ruby Ann's Down Home Trailer Park Cookbook,Cooking,Ruby Ann Boxcar,4.12,9780806523491,240,50,2005,Citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Humor,Ruby Ann Boxcar,4.08,9780806525365,206,13,2005,Citadel
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Computers,Rob Orsini,3.48,9780596527310,514,64,2007,O'Reilly Media
159,Dinner with Anna Karenina,Fiction,Gloria Goldreich,2.99,9780778322276,360,411,2006,Mira Books
160,Tolstoy: Anna Karenina,Literary Criticism,Anthony Thorlby,4.19,9780521313254,128,1204,1987,Cambridge University Press
163,The Untouchable,Fiction,John Banville,3.95,9780679767473,367,2163,1998,Vintage
